node_id,lat,lon,capability_restorativeness_baseline,capability_nutrition_baseline,capability_care_baseline,capability_restorativeness_public_strike,capability_nutrition_public_strike,capability_care_public_strike,diff_restorativeness_public_strike,diff_nutrition_public_strike,diff_care_public_strike
301802664,39.2153186,9.1174533,0.9972202813255524,0.9991101428490125,0.9933894714046512,0.8957009315490723,0.6344987630844117,0.9439892172813416,-0.10151934977648014,-0.3646113797646008,-0.04940025412330962
301802688,39.2154426,9.1185254,0.9960091039414236,0.9993262331646052,0.9933438217367456,0.9701157808303832,0.7574568390846252,0.97407865524292,-0.025893323111040423,-0.24186939407997998,-0.019265166493825592
301802689,39.2158787,9.1188836,0.9963053202629693,0.9995935656576134,0.9936482948887396,0.9763774871826172,0.7708609461784363,0.9702333211898804,-0.019927833080352064,-0.2287326194791771,-0.023414973698859254
301802692,39.2157823,9.1196718,0.9966053837443508,0.9998072927606476,0.993400762567186,0.9990814924240112,0.8905277013778686,0.9848942756652832,0.002476108679660416,-0.10927959138277898,-0.00850648690190281
301802693,39.2151818,9.1193046,0.9952458080758264,0.9991456319501258,0.9925894581195684,0.9961063861846924,0.7140835642814636,0.951868772506714,0.0008605781088659725,-0.28506206766866227,-0.04072068561285447
301802694,39.2158036,9.1194748,0.996433238603474,0.9997785811595992,0.993470636413464,0.99659663438797,0.7215155601501465,0.952742040157318,0.0001633957844959788,-0.27826302100945266,-0.040728596256146
301802695,39.2170894,9.1202233,0.995742464108974,0.9997800440306186,0.9943058585697432,0.995613694190979,0.7154372811317444,0.9515237212181092,-0.0001287699179950419,-0.28434276289887417,-0.04278213735163394
301802698,39.21749,9.1204915,0.9946930766103884,0.999524449826862,0.9934413568996884,0.9952279329299928,0.7157155394554138,0.9516975283622742,0.000534856319604371,-0.2838089103714482,-0.04174382853741421
301802700,39.2185075,9.1234782,0.9970759151493896,0.9995846017673014,0.9956105782183712,0.998570203781128,0.8236765384674072,0.978239119052887,0.001494288631738394,-0.17590806329989417,-0.017371459165484215
301806532,39.2195613,9.1219286,0.9970480313820732,0.9992770905046772,0.9963301971111376,0.998854398727417,0.8478479743003845,0.9810938239097596,0.0018063673453437845,-0.15142911620429267,-0.01523637320137794
301806579,39.2200908,9.1218079,0.9974843574921268,0.9995136740400008,0.9969890775293648,0.9995750784873962,0.8602763175964355,0.9823191165924072,0.002090720995269413,-0.13923735644356527,-0.014669960936957605
301806581,39.2207577,9.121638,0.9971657224873062,0.999360616147946,0.996602013674372,0.9999143481254578,0.8730916500091552,0.983234167098999,0.0027486256381515917,-0.1262689661387908,-0.013367846575372933
301806583,39.2215729,9.1214581,0.9972749997198374,0.9990775369227018,0.9969107588203928,0.9997825026512146,0.8776688694953918,0.983611226081848,0.002507502931377248,-0.12140866742731005,-0.013299532738544784
301806584,39.2220957,9.1215216,0.9987929924038664,0.9996020835256748,0.9985757529963952,0.9999885559082032,0.8826474905014038,0.9840745329856871,0.0011955635043368051,-0.11695459302427103,-0.014501220010708082
301806585,39.222819,9.1215946,0.9991782504474434,0.9997912012408796,0.9987097763867046,0.99996817111969,0.8862045526504516,0.9842057824134828,0.0007899206722467023,-0.113586648590428,-0.014503993973221774
301806602,39.2232358,9.123248,0.9984225165233532,0.9993179449346776,0.9976999804126204,0.9997599124908448,0.8876170992851258,0.9843411445617676,0.0013373959674916058,-0.11170084564955185,-0.013358835850852846
301806603,39.2232161,9.1235931,0.9985901367568192,0.9996069243297624,0.9979026910329576,0.9998846650123596,0.8924274802207947,0.985101282596588,0.0012945282555404392,-0.10717944410896774,-0.012801408436369566
301806604,39.2232737,9.1243672,0.9989255394678892,0.9996391991480736,0.9979292810067082,0.9979236125946044,0.8922879576683045,0.9855998158454896,-0.0010019268732848197,-0.10735124147976915,-0.012329465161218578
301806660,39.2232828,9.1264046,0.9987031613091646,0.9998342176333086,0.9976583333466156,0.9981063604354858,0.8892229318618774,0.9854647517204284,-0.0005968008736787489,-0.1106112857714312,-0.012193581626187222
301806661,39.2231738,9.1268736,0.9985377131610642,0.9998058249130172,0.997440832254312,0.9982074499130248,0.8885292768478393,0.9854940176010132,-0.00033026324803941964,-0.11127654806517784,-0.011946814653298832
301806663,39.2221613,9.1282225,0.9986677346374068,0.9997679270941056,0.9970344081876258,0.9986920952796936,0.8875805497169494,0.9854987263679504,2.4360642286835876e-05,-0.11218737737715612,-0.011535681819675347
301806664,39.2224395,9.1235745,0.9984970702802248,0.9996815212991228,0.9981847136441588,0.9984574913978576,0.8868719458580017,0.9855283498764038,-3.9578882367274915e-05,-0.11280957544112113,-0.01265636376775503
301806665,39.2223807,9.1259942,0.997489329230356,0.9996647403346226,0.996952396521803,0.9987488389015198,0.8848078131675721,0.9852521419525146,0.0012595096711637277,-0.11485692716705054,-0.01170025456928836
301806667,39.2218892,9.1225499,0.9977156601899034,0.9991970037364072,0.9976278324114316,0.9999883770942688,0.6727323293685913,0.9293228387832642,0.0022727169043653683,-0.3264646743678159,-0.06830499362816744
301806668,39.2216966,9.1235525,0.9981987072836496,0.9995547163209134,0.9979027838661328,0.9999884366989136,0.672918164730072,0.9297067523002625,0.0017897294152640075,-0.3266365515908414,-0.0681960315658704
301806669,39.2215378,9.1243058,0.9968927212131914,0.9996433116573282,0.9974668523828232,0.9999883770942688,0.6727254629135132,0.9296471476554872,0.003095655881077408,-0.326917848743815,-0.067819704727336
301806671,39.2203337,9.1250748,0.9967097340972528,0.9996132564049331,0.9966446867397172,0.999988615512848,0.6740785837173462,0.9303336143493652,0.0032788814155951806,-0.32553467268758696,-0.06631107239035194
301806672,39.219553,9.1250365,0.9967042842042292,0.9996742780354176,0.9963205773710638,0.9999931454658508,0.7042829036712647,0.9446908235549928,0.003288861261621645,-0.29539137436415297,-0.051629753816071045
301806673,39.218106,9.1249958,0.9963610198025744,0.9993455456845594,0.9951125435745354,0.9984728693962096,0.8881085395812989,0.9848222136497498,0.0021118495936351955,-0.11123700610326048,-0.010290329924785624
301806753,39.2183949,9.1238982,0.997174142750323,0.9996000982718612,0.995436423573215,0.9986924529075624,0.8905975580215454,0.9850823879241944,0.0015183101572393554,-0.10900254025031586,-0.010354035649020599
301806754,39.2180863,9.1257492,0.9953868114860716,0.99900345780315,0.9926018028806812,0.999009132385254,0.8923964619636535,0.9853550791740416,0.003622320899182463,-0.10660699583949651,-0.007246723706639591
301806756,39.2187574,9.1270021,0.9963597902109568,0.9996425773454476,0.9934149078850816,0.9998610019683838,0.7223038077354431,0.9578706622123718,0.003501211757427014,-0.2773387696100045,-0.03554424567270975
301806757,39.2192618,9.1276938,0.9966316975488116,0.9997940403074964,0.9938151302193146,0.994095265865326,0.6962818741798401,0.9207520484924316,-0.002536431683485607,-0.3035121661276563,-0.07306308172688292
301806758,39.219722,9.1282285,0.9964086345320068,0.9991235530666568,0.9927870168289116,0.9981811046600342,0.7651500940322876,0.9407162070274352,0.0017724701280273925,-0.23397345903436917,-0.05207080980147638
301806759,39.2190334,9.1238674,0.9953465362739452,0.9992838398604496,0.9948523428668518,0.9989798069000244,0.8933839082717896,0.9856046438217164,0.0036332706260792103,-0.10589993158865996,-0.009247699045135338
301806760,39.2198194,9.1244694,0.9960233555532312,0.9996075673284768,0.9956215549145911,0.9990124702453612,0.8926474809646606,0.9854270815849304,0.002989114692130035,-0.10696008636381615,-0.010194473329660725
301806761,39.2201292,9.1238047,0.996370516986427,0.9997711981682812,0.9962498149133726,0.9984830617904664,0.8500430583953857,0.9800469279289246,0.00211254480403944,-0.14972813977289545,-0.01620288698444805
301806762,39.2202788,9.1235485,0.9962250163389318,0.9996112121553536,0.9955874206339868,0.9988387823104858,0.8626014351844787,0.9822189807891846,0.0026137659715540495,-0.1370097769708749,-0.013368439844802182
301806763,39.2206344,9.1231852,0.9972146562879656,0.9996335941931634,0.99708973322995,0.9995529055595398,0.8833423852920532,0.9840587973594666,0.002338249271574222,-0.11629120890111022,-0.013030935870483429
301806766,39.2211906,9.1233944,0.9977148393837378,0.9993141871275544,0.9976247459209566,0.9988197088241576,0.8613675713539124,0.98216050863266,0.0011048694404197645,-0.13794661577364198,-0.0154642372882966
301806768,39.2209481,9.1245976,0.9964082038959804,0.9994112391198832,0.9968647947820942,0.9987853169441224,0.8614823222160339,0.982172966003418,0.002377113048142032,-0.13792891690384923,-0.014691828778676252
301806769,39.2201964,9.1224606,0.996449150347102,0.9994153501950976,0.9962579282111969,0.9986863136291504,0.8622270703315735,0.9821304678916932,0.002237163282048371,-0.1371882798635241,-0.014127460319503626
301806770,39.2210348,9.1241484,0.9968284363786464,0.999112304081352,0.9971908912182256,0.9987909197807312,0.8619289755821228,0.9821970462799072,0.0019624834020848247,-0.1371833284992292,-0.014993844938318346
301806829,39.2193911,9.1221572,0.9967864866757576,0.9995527251793288,0.9967846666861432,0.9999934434890748,0.7066577911376953,0.945645034313202,0.0032069568133171744,-0.29289493404163347,-0.05113963237294117
301806833,39.2205886,9.1259454,0.996546794911321,0.9995837992932914,0.9953600576628672,0.999213695526123,0.893078875541687,0.9855242967605592,0.0026669006148020147,-0.10650492375160447,-0.009835760902307977
301806837,39.2199662,9.1266439,0.9964133012109964,0.9995704669594508,0.9942191942934194,0.9990257024765016,0.8630722880363464,0.9823068380355836,0.0026124012655052153,-0.13649817892310445,-0.011912356257835821
301806842,39.2195484,9.1271716,0.9959371227289272,0.9997348897562304,0.9934167964226892,0.997247040271759,0.8528062582015992,0.9811700582504272,0.0013099175428318288,-0.1469286315546312,-0.012246738172261962
301806951,39.221678,9.1288361,0.9988402616074208,0.9994796674668472,0.9964287265975716,0.9999883770942688,0.6727526903152465,0.9296059012413024,0.0011481154868480115,-0.3267269771516007,-0.06682282535626927
301806952,39.2211992,9.128227,0.9976055840347628,0.998973797500514,0.9946293339268226,0.9982941150665284,0.8931722164154052,0.985564351081848,0.0006885310317655824,-0.10580158108510873,-0.00906498284497459
301806953,39.2205123,9.1273411,0.9971860224036324,0.9995869459651876,0.9954544779338858,0.9983105659484864,0.8928802132606506,0.985544204711914,0.0011245435448540286,-0.10670673270453701,-0.0099102732219718
301806954,39.2196,9.1260958,0.9956976292893532,0.9992282165928178,0.9948148247492422,0.9935552477836608,0.4268711328506469,0.8327449560165405,-0.002142381505692459,-0.572357083742171,-0.16206986873270168
301806955,39.2195414,9.1257998,0.9960236881952432,0.9993561700511636,0.9952644312429128,0.9998563528060912,0.6841142416000366,0.9521494507789612,0.003832664610847969,-0.315241928451127,-0.04311498046395157
301806959,39.2210987,9.1266732,0.9970936781938948,0.9997351525122992,0.99634645567006,0.9979956150054932,0.7464583516120911,0.9355188608169556,0.0009019368115983362,-0.2532768009002081,-0.060827594853104405
301806960,39.2217315,9.1276142,0.9979896298815328,0.9995057285061624,0.9957245408645096,0.9998468160629272,0.6817570805549622,0.9524133801460266,0.0018571861813944102,-0.31774864795120017,-0.043311160718482955
301806961,39.2224101,9.1268601,0.9979124313056617,0.9998370428137354,0.9970312546505812,0.9892704486846924,0.3022633910179138,0.746053159236908,-0.008641982620969269,-0.6975736517958216,-0.2509780954136732
