draw,capability,pct_nodes_changed,mean_abs_score_delta,max_weight
0,restorativeness,1.1516314779270633,0.002303262955854127,0.2573158518680536
1,restorativeness,1.6634676903390915,0.0033269353806781835,0.24013671005349901
2,restorativeness,1.0236724248240563,0.0020473448496481127,0.2665432734292346
3,restorativeness,1.599488163787588,0.003198976327575176,0.266489114015688
4,restorativeness,2.4312220089571337,0.004862444017914269,0.23324413664734808
5,restorativeness,0.7677543186180422,0.0015355086372360847,0.22891944311948942
6,restorativeness,1.6634676903390915,0.0033269353806781835,0.24586263193738858
7,restorativeness,0.7037747920665387,0.0014075495841330775,0.25008039580816144
8,restorativeness,3.071017274472169,0.006142034548944339,0.259757484501047
9,restorativeness,1.3435700575815739,0.0026871401151631483,0.21682267711769967
10,restorativeness,21.04926423544466,0.04222648752399232,0.2834614994410836
11,restorativeness,0.4478566858605247,0.0008957133717210495,0.30278277786372043
12,restorativeness,1.2795905310300704,0.0025591810620601407,0.25350057858926006
13,restorativeness,0.4478566858605247,0.0008957133717210495,0.23110377914907834
14,restorativeness,0.3838771593090211,0.0007677543186180424,0.23135276012012698
15,restorativeness,2.1753039027511196,0.00435060780550224,0.2345409403371056
16,restorativeness,18.87396033269354,0.037747920665387076,0.2459099239450539
17,restorativeness,0.3198976327575176,0.0006397952655150352,0.26646802969665073
18,restorativeness,1.1516314779270633,0.002303262955854127,0.2812620853773273
19,restorativeness,18.87396033269354,0.037747920665387076,0.26994183621628953
20,restorativeness,1.8554062699936023,0.003710812539987204,0.26491305716891717
21,restorativeness,1.8554062699936023,0.0037108125399872047,0.24410872225433733
22,restorativeness,1.8554062699936023,0.003710812539987204,0.23514545010886784
23,restorativeness,2.36724248240563,0.004734484964811261,0.23228302839949289
24,restorativeness,19.001919385796544,0.038003838771593086,0.2772812490549128
25,restorativeness,0.2559181062060141,0.0005118362124120282,0.24729731881803732
26,restorativeness,1.599488163787588,0.003198976327575176,0.24283651312073423
27,restorativeness,1.983365323096609,0.003966730646193219,0.27602012257908815
28,restorativeness,0.2559181062060141,0.0005118362124120283,0.23153737043283615
29,restorativeness,1.2156110044785668,0.0024312220089571343,0.24801053002451431
30,restorativeness,2.1753039027511196,0.00435060780550224,0.23266053449691695
31,restorativeness,19.769673704414586,0.039539347408829174,0.2777670584338081
32,restorativeness,2.3032629558541267,0.004606525911708254,0.2366964504018676
33,restorativeness,2.5591810620601407,0.005118362124120283,0.24555532368174204
34,restorativeness,0.19193857965451055,0.0003838771593090212,0.2159460816142208
35,restorativeness,2.239283429302623,0.004478566858605247,0.2807536313020415
36,restorativeness,1.7914267434420987,0.003582853486884198,0.24667338349440787
37,restorativeness,0.7037747920665387,0.0014075495841330775,0.24835217229726483
38,restorativeness,1.0876519513755598,0.00217530390275112,0.23033224694728877
39,restorativeness,0.3838771593090211,0.0007677543186180424,0.23626280886497575
40,restorativeness,1.3435700575815739,0.0026871401151631483,0.2174883125511518
41,restorativeness,0.4478566858605247,0.0008957133717210493,0.28005149230567133
42,restorativeness,0.9596928982725527,0.0019193857965451055,0.27640163555917374
43,restorativeness,1.9193857965451053,0.003838771593090211,0.22982398979310067
44,restorativeness,0.4478566858605247,0.0008957133717210495,0.2899393464375846
45,restorativeness,20.281509916826614,0.040563019833653235,0.3166909787803811
46,restorativeness,1.4075495841330774,0.002815099168266155,0.23329141014478327
47,restorativeness,0.7677543186180422,0.0015355086372360843,0.23950300997803411
48,restorativeness,2.495201535508637,0.0049904030710172746,0.30409362430919834
49,restorativeness,0.4478566858605247,0.0008957133717210493,0.23852992786308974
50,restorativeness,0.8957133717210494,0.0017914267434420987,0.2591289066607277
51,restorativeness,1.0236724248240563,0.0020473448496481127,0.23037827734083274
52,restorativeness,19.513755598208572,0.039027511196417154,0.2765837389060825
53,restorativeness,4.222648752399232,0.008445297504798464,0.28797425259628223
54,restorativeness,0.3198976327575176,0.0006397952655150352,0.21858985275476633
55,restorativeness,1.0236724248240563,0.0020473448496481127,0.2383637622776928
56,restorativeness,20.217530390275112,0.040435060780550224,0.27436588670582357
57,restorativeness,0.4478566858605247,0.0008957133717210495,0.2522989318143692
58,restorativeness,1.0876519513755598,0.00217530390275112,0.2593573240260349
59,restorativeness,18.87396033269354,0.037747920665387076,0.258168665859582
60,restorativeness,0.8957133717210494,0.001791426743442099,0.27190606025568587
61,restorativeness,0.3198976327575176,0.0006397952655150354,0.2502403836844791
62,restorativeness,2.0473448496481126,0.004094689699296225,0.2656107095281522
63,restorativeness,2.6871401151631478,0.005374280230326297,0.2861212614824282
64,restorativeness,1.5355086372360844,0.0030710172744721695,0.22736375578955897
65,restorativeness,0.9596928982725527,0.001919385796545106,0.24063820830698238
66,restorativeness,19.705694177863084,0.03941138835572617,0.2773315745667801
67,restorativeness,3.134996801023673,0.006269993602047345,0.26984293128774817
68,restorativeness,2.5591810620601407,0.005118362124120281,0.2976412884977558
69,restorativeness,2.111324376199616,0.004222648752399233,0.25093276326071345
70,restorativeness,19.065898912348047,0.0381317978246961,0.2513858790942293
71,restorativeness,18.87396033269354,0.037747920665387076,0.2607645896997936
72,restorativeness,0.12795905310300704,0.0002559181062060141,0.2631605694484547
73,restorativeness,0.4478566858605247,0.0008957133717210495,0.2581863888763986
74,restorativeness,1.983365323096609,0.003966730646193219,0.22011620784552965
75,restorativeness,5.310300703774792,0.010620601407549585,0.3014223550181135
76,restorativeness,0.0,0.0,0.2702125151961184
77,restorativeness,1.2795905310300704,0.0025591810620601407,0.23858345234814407
78,restorativeness,0.7037747920665387,0.0014075495841330775,0.2543265291156411
79,restorativeness,2.4312220089571337,0.004862444017914269,0.23131507760089065
80,restorativeness,0.4478566858605247,0.0008957133717210493,0.2602475064936041
81,restorativeness,1.8554062699936023,0.003710812539987204,0.24183363012902234
82,restorativeness,20.089571337172103,0.040179142674344206,0.2671885130594858
83,restorativeness,0.7037747920665387,0.0014075495841330775,0.2398867806661588
84,restorativeness,0.5118362124120281,0.0010236724248240564,0.246195248628175
85,restorativeness,2.36724248240563,0.004734484964811261,0.2351501948767707
86,restorativeness,1.2156110044785668,0.0024312220089571343,0.2592445812254299
