from_lon,from_lat,to_lon,to_lat,google_maps_transit_url,travel_time,wait_time
9.098600000000001,39.228,9.1136,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.098600000000001&destination=39.22%2C9.1136&travelmode=transit&departure_time=1760522400",23,1.2333333333333334
9.098600000000001,39.228,9.114799999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.098600000000001&destination=39.22%2C9.114799999999999&travelmode=transit&departure_time=1760522400",28,4.016666666666667
9.098600000000001,39.228,9.116,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.098600000000001&destination=39.22%2C9.116&travelmode=transit&departure_time=1760522400",27,3.566666666666667
9.098600000000001,39.228,9.117199999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.098600000000001&destination=39.22%2C9.117199999999999&travelmode=transit&departure_time=1760522400",26,4.616666666666666
9.098600000000001,39.228,9.1184,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.098600000000001&destination=39.22%2C9.1184&travelmode=transit&departure_time=1760522400",26,4.616666666666666
9.098600000000001,39.228,9.1196,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.098600000000001&destination=39.22%2C9.1196&travelmode=transit&departure_time=1760522400",28,4.616666666666666
9.098600000000001,39.228,9.1208,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.098600000000001&destination=39.22%2C9.1208&travelmode=transit&departure_time=1760522400",28,4.666666666666667
9.0998,39.228,9.11,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.11&travelmode=transit&departure_time=1760522400",16,1.1166666666666667
9.0998,39.228,9.1112,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.1112&travelmode=transit&departure_time=1760522400",29,6.183333333333334
9.0998,39.228,9.1124,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.1124&travelmode=transit&departure_time=1760522400",21,1.0833333333333333
9.0998,39.228,9.1136,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.1136&travelmode=transit&departure_time=1760522400",22,1.0833333333333333
9.0998,39.228,9.114799999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.114799999999999&travelmode=transit&departure_time=1760522400",26,1.0833333333333333
9.0998,39.228,9.116,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.116&travelmode=transit&departure_time=1760522400",25,3.65
9.0998,39.228,9.117199999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.117199999999999&travelmode=transit&departure_time=1760522400",24,4.7
9.0998,39.228,9.1184,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.1184&travelmode=transit&departure_time=1760522400",24,4.7
9.0998,39.228,9.1196,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.1196&travelmode=transit&departure_time=1760522400",26,4.7
9.0998,39.228,9.1208,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.0998&destination=39.22%2C9.1208&travelmode=transit&departure_time=1760522400",26,4.75
9.101,39.228,9.11,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.11&travelmode=transit&departure_time=1760522400",22,1.05
9.101,39.228,9.1112,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.1112&travelmode=transit&departure_time=1760522400",37,3.5833333333333335
9.101,39.228,9.1124,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.1124&travelmode=transit&departure_time=1760522400",28,3.5833333333333335
9.101,39.228,9.1136,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.1136&travelmode=transit&departure_time=1760522400",29,3.5833333333333335
9.101,39.228,9.114799999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.114799999999999&travelmode=transit&departure_time=1760522400",32,1.9166666666666667
9.101,39.228,9.116,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.116&travelmode=transit&departure_time=1760522400",30,1.9166666666666667
