SERVICE: sport_and_movement
  POI_TYPE: leisure_sports_centre (tags={'leisure': 'sports_centre'})
  COUNT: 66
    - Step & fitness | id=2849940324 | lat=39.226794 lon=9.133378
    - leisure_swimming_pool (277196641) | id=277196641 | lat=39.205293 lon=9.125456
    - leisure_swimming_pool (277196740) | id=277196740 | lat=39.203154 lon=9.132499
    - Piscina via Abruzzi | id=376575794 | lat=39.239841 lon=9.101533
    - leisure_swimming_pool (402657607) | id=402657607 | lat=39.225160 lon=9.106808
    - leisure_swimming_pool (402657611) | id=402657611 | lat=39.224449 lon=9.105665
    - leisure_swimming_pool (540435769) | id=540435769 | lat=39.204836 lon=9.134108
    - leisure_swimming_pool (552377600) | id=552377600 | lat=39.235295 lon=9.137135
    - leisure_swimming_pool (552628865) | id=552628865 | lat=39.253802 lon=9.120381
    - leisure_swimming_pool (552629994) | id=552629994 | lat=39.240096 lon=9.116746
    - leisure_swimming_pool (552629995) | id=552629995 | lat=39.240369 lon=9.117255
    - leisure_swimming_pool (552629996) | id=552629996 | lat=39.240092 lon=9.117902
    - leisure_swimming_pool (555570603) | id=555570603 | lat=39.260953 lon=9.122034
    - leisure_swimming_pool (555570604) | id=555570604 | lat=39.261036 lon=9.122207
    - leisure_swimming_pool (555570605) | id=555570605 | lat=39.257919 lon=9.114896
    - leisure_swimming_pool (555570613) | id=555570613 | lat=39.250830 lon=9.117032
    - leisure_swimming_pool (555570615) | id=555570615 | lat=39.257072 lon=9.094165
    - leisure_swimming_pool (556047126) | id=556047126 | lat=39.239269 lon=9.117727
    - leisure_swimming_pool (556047129) | id=556047129 | lat=39.238914 lon=9.135363
    - leisure_swimming_pool (556235864) | id=556235864 | lat=39.256311 lon=9.118165
    - leisure_swimming_pool (556235865) | id=556235865 | lat=39.256976 lon=9.121427
    - leisure_swimming_pool (556235871) | id=556235871 | lat=39.253224 lon=9.124978
    - leisure_swimming_pool (581520491) | id=581520491 | lat=39.258717 lon=9.093138
    - leisure_swimming_pool (581884619) | id=581884619 | lat=39.233061 lon=9.139288
    - leisure_swimming_pool (581884620) | id=581884620 | lat=39.232240 lon=9.138685
    - leisure_swimming_pool (581884621) | id=581884621 | lat=39.231914 lon=9.138176
    - leisure_swimming_pool (581884622) | id=581884622 | lat=39.233550 lon=9.135688
    - leisure_swimming_pool (581884623) | id=581884623 | lat=39.233159 lon=9.135449
    - leisure_swimming_pool (581884624) | id=581884624 | lat=39.233288 lon=9.134502
    - leisure_swimming_pool (996202313) | id=996202313 | lat=39.239684 lon=9.117193
    - leisure_swimming_pool (1276165934) | id=1276165934 | lat=39.200693 lon=9.146104
    - leisure_swimming_pool (1282163620) | id=1282163620 | lat=39.254630 lon=9.125168
    - leisure_swimming_pool (1356000992) | id=1356000992 | lat=39.228172 lon=9.136958
  POI_TYPE: leisure_pitch (tags={'leisure': 'pitch'})
  COUNT: 388
    - leisure_pitch (11810296192) | id=11810296192 | lat=39.247944 lon=9.132286
