from_lat,from_lon,to_lat,to_lon,google_maps_transit_url,travel_time_min,wait_time_min,impedance_min,is_missing
39.166464,9.031284,39.219775,9.104241,https://www.google.com/maps/dir/?api=1&origin=39.166464%2C9.031284&destination=39.219775%2C9.104241&travelmode=transit&departure_time=1760529600,,,,1
39.168024,9.033646,39.242259,9.136964,https://www.google.com/maps/dir/?api=1&origin=39.168024%2C9.033646&destination=39.242259%2C9.136964&travelmode=transit&departure_time=1760529600,,,,1
39.211779,9.124112,39.234231,9.03924,https://www.google.com/maps/dir/?api=1&origin=39.211779%2C9.124112&destination=39.234231%2C9.03924&travelmode=transit&departure_time=1760529600,,,,1
39.167325,9.030116,39.209832,9.124405,https://www.google.com/maps/dir/?api=1&origin=39.167325%2C9.030116&destination=39.209832%2C9.124405&travelmode=transit&departure_time=1760529600,,,,1
39.210478,9.120771,39.231319,9.051986,https://www.google.com/maps/dir/?api=1&origin=39.210478%2C9.120771&destination=39.231319%2C9.051986&travelmode=transit&departure_time=1760529600,,,,1
39.240585,9.110825,39.229067,9.077919,https://www.google.com/maps/dir/?api=1&origin=39.240585%2C9.110825&destination=39.229067%2C9.077919&travelmode=transit&departure_time=1760529600,,,,1
39.190184,9.140099,39.229067,9.077919,https://www.google.com/maps/dir/?api=1&origin=39.190184%2C9.140099&destination=39.229067%2C9.077919&travelmode=transit&departure_time=1760529600,,,,1
39.242294,9.116713,39.168405,9.033025,https://www.google.com/maps/dir/?api=1&origin=39.242294%2C9.116713&destination=39.168405%2C9.033025&travelmode=transit&departure_time=1760529600,,,,1
39.223355,9.070172,39.237316,9.115155,https://www.google.com/maps/dir/?api=1&origin=39.223355%2C9.070172&destination=39.237316%2C9.115155&travelmode=transit&departure_time=1760529600,,,,1
39.187051,9.146499,39.269915,9.077015,https://www.google.com/maps/dir/?api=1&origin=39.187051%2C9.146499&destination=39.269915%2C9.077015&travelmode=transit&departure_time=1760529600,,,,1
39.228401,9.071295,39.231326,9.124337,https://www.google.com/maps/dir/?api=1&origin=39.228401%2C9.071295&destination=39.231326%2C9.124337&travelmode=transit&departure_time=1760529600,,,,1
39.250979,9.126287,39.230757,9.075706,https://www.google.com/maps/dir/?api=1&origin=39.250979%2C9.126287&destination=39.230757%2C9.075706&travelmode=transit&departure_time=1760529600,,,,1
39.242166,9.10333,39.228661,9.071113,https://www.google.com/maps/dir/?api=1&origin=39.242166%2C9.10333&destination=39.228661%2C9.071113&travelmode=transit&departure_time=1760529600,,,,1
39.166672,9.031076,39.238927,9.103114,https://www.google.com/maps/dir/?api=1&origin=39.166672%2C9.031076&destination=39.238927%2C9.103114&travelmode=transit&departure_time=1760529600,,,,1
