id,lon,lat
31498899,9.1018122,39.2601203
31498915,9.0898185,39.2615302
31498927,9.084083,39.2594743
86103292,9.1040352,39.2112981
259877016,9.1242555,39.2075255
265659800,9.1711803,39.2156971
265659808,9.1703205,39.2154775
265659831,9.1705792,39.2152131
265659839,9.1711811,39.2153738
265659926,9.1571858,39.1947553
265659937,9.1523306,39.1958712
265659939,9.1469441,39.198839
265659941,9.141998,39.2016068
265659944,9.1400932,39.2036548
265659946,9.1385891,39.2046783
265659953,9.1328651,39.2052586
265659960,9.1309992,39.2054519
265664433,9.1230532,39.2096379
265669519,9.1091734,39.2156489
265669552,9.10366,39.2201679
265669562,9.0986985,39.2301165
265669576,9.0978177,39.232134
265669580,9.097202,39.2346255
265669583,9.0969043,39.2371324
265669585,9.0967511,39.2412221
291582984,9.0313096,39.165266
291583004,9.0334175,39.1680752
291583314,9.0335399,39.1682594
291584377,9.0344928,39.1690289
291584386,9.058191,39.1920551
291584452,9.10046,39.2153315
291584456,9.1048379,39.2140516
291584458,9.1072364,39.2137743
291584824,9.0563259,39.2222502
291584837,9.083562,39.2208413
291584842,9.0897919,39.2147692
291584854,9.1129139,39.2132147
291585117,9.1348979,39.1974438
291585124,9.1438649,39.1985886
291585166,9.1247436,39.2060768
291585173,9.1434803,39.1984338
291585174,9.1436427,39.1983901
291585177,9.1434501,39.1986818
291585264,9.1438407,39.1984865
291585356,9.0593134,39.1937099
291585364,9.114381,39.2124102
291585367,9.128644,39.2035828
291585368,9.1305152,39.2025624
291585531,9.0333197,39.1677057
291719654,9.1097041,39.2161269
291719655,9.108506,39.2168847
291927171,9.0819136,39.2222841
291927208,9.0688677,39.2260146
291927212,9.0892804,39.2150086
291927274,9.0725273,39.2263743
291927286,9.0546807,39.2167062
291927343,9.0558749,39.2220509
291927360,9.0542104,39.2179931
291931007,9.0946403,39.2289147
291931047,9.0933937,39.2312516
291950060,9.1077963,39.2141622
291950065,9.1024962,39.2146732
291950099,9.092514,39.2284441
291950100,9.0926206,39.2281878
291950111,9.0968257,39.2211399
291950119,9.0962413,39.2171089
291950133,9.0997129,39.2160445
291950145,9.093512,39.2273305
291950163,9.1158323,39.2113713
292273181,9.1515213,39.2421174
292274049,9.1293056,39.2251245
292274052,9.1320165,39.2285882
292274059,9.1365963,39.2331181
292274066,9.1262634,39.2220023
292274069,9.1282727,39.2237323
292274248,9.127364,39.2228176
292347461,9.0330249,39.1684046
292347826,9.1159028,39.2111578
292347849,9.1207967,39.2131427
292347860,9.1195263,39.2134341
293617675,9.1331712,39.2504938
293617678,9.1321311,39.2495894
293850113,9.0846114,39.2699424
293851481,9.0930055,39.2592585
293851621,9.0836591,39.2585708
293851888,9.0874941,39.2620019
293870215,9.0839892,39.2590341
293876279,9.0846319,39.2631282
297411542,9.131676,39.2335329
297411723,9.1264317,39.2357964
297413078,9.1211497,39.237236
297413284,9.1355759,39.2316081
297413692,9.1428533,39.2048987
297413697,9.1434458,39.2060813
297413711,9.1422974,39.2163578
297413719,9.1394117,39.2217532
297414208,9.1426493,39.2124039
299641717,9.0968406,39.2345363
299641725,9.096273,39.233367
301801685,9.1111863,39.2152413
301801707,9.1116883,39.2156775
301801740,9.1117919,39.2186292
301801741,9.1120555,39.21854
301801783,9.1124138,39.2184245
301801785,9.1130029,39.2182437
301801787,9.1122674,39.2202965
301801795,9.1127251,39.2196807
301801797,9.1042407,39.2197751
301801798,9.1056834,39.2206662
301801799,9.1067036,39.2212335
301801806,9.1074256,39.2203431
301801811,9.1090693,39.2194361
301801833,9.1072388,39.2195814
301801835,9.1084143,39.2188281
301801900,9.1110898,39.2174836
301801901,9.1044529,39.219994
301801903,9.1057913,39.219928
301801906,9.1098727,39.2211676
301801908,9.1102232,39.2201765
301801914,9.1114039,39.2184744
301801951,9.1126238,39.2176772
301801980,9.1075903,39.2211526
301801981,9.1081855,39.2208269
301801982,9.1091137,39.2210208
301801983,9.1094989,39.2200173
301801984,9.1074137,39.2178829
301801988,9.1103787,39.2157189
301801992,9.1115267,39.2164366
301801996,9.1139351,39.2167568
301802004,9.1155912,39.2158658
