node_id,lat,lon,capability_nutrition,service_eating_out,service_fresh_food_access,service_ready_food_access
302132234,39.2292882,9.1175257,0.9975401098710759,0.999261844783381,0.9949575075026184,0.7694480647796129
302132236,39.2291335,9.1175852,0.9976006509050633,0.9992825966904514,0.9950777322269811,0.7694465002285784
302132288,39.2283383,9.1189444,0.9991932456294219,0.9997763894675444,0.998318529872238,0.777516234581117
302132296,39.2285978,9.1194637,0.9993771218745401,0.9997958931688969,0.9987489649330048,0.7792646419729049
302132298,39.2286836,9.1199547,0.9994654646736316,0.9998241774931804,0.9989273954443085,0.7807841508277731
302132358,39.2317197,9.1213274,0.9994235215774281,0.9997820514016817,0.9988857268410475,0.7842831607680815
302132369,39.2303252,9.1237424,0.9997518298477355,0.9999654697366159,0.9994313700144148,0.7874406780095814
302132399,39.2297265,9.1250813,0.9997144014854484,0.9998748959193762,0.9994736598345568,0.7894071437174275
302742075,39.2180559,9.118354,0.9994044578774886,0.9999622138324924,0.9985678239449828,0.7931217751625392
302742076,39.2188038,9.1185188,0.9987004868890627,0.9998321475503704,0.9970029958971011,0.7895248550594692
302742078,39.2200787,9.1188178,0.998523870381973,0.9998196484562607,0.9965802032705413,0.7842862887289045
302742079,39.2201757,9.1188457,0.9984957139306169,0.9998206291912981,0.996508341039595,0.7840247232587813
302742080,39.2204701,9.1189974,0.9985745504996786,0.9998129734409799,0.9967169160877266,0.7835965821962532
302742081,39.2206294,9.1190746,0.998499717098051,0.9998025066688937,0.9965455327417869,0.7831658280628027
302742083,39.2216228,9.1196063,0.998718433712392,0.9998248262378217,0.9970588449242476,0.7794532844916282
302742084,39.2222477,9.1198262,0.9985577481896347,0.9994877287358407,0.9971627773703257,0.7761204634705695
302742085,39.2240302,9.1199475,0.9992917162070086,0.9996981718430548,0.9986820327529394,0.7825844187992015
302742086,39.2248733,9.1199336,0.9986940940245912,0.9994793357363505,0.9975162314569521,0.7766905258410152
302742087,39.2256242,9.1197405,0.9983987141738057,0.9995370455329975,0.9966912171350178,0.772687556512341
302742088,39.226978,9.1199316,0.9989165136559067,0.9995047569864134,0.9980341486601468,0.7773350277488628
302742310,39.2380291,9.131027,0.9941853026283001,0.9936312479072963,0.9941853026283001,0.7870629410196293
302742311,39.2296979,9.1263537,0.9996558595035641,0.9997364603175006,0.9995349582826591,0.7920517311549702
302742312,39.2288864,9.1227978,0.9998346661732006,0.9999536267157109,0.9996562253594352,0.7846395271442107
302742313,39.2306375,9.1231039,0.9998180794479686,0.9999728022689559,0.9995859952164878,0.787199590669549
302742314,39.2301959,9.1228978,0.9998184069153274,0.999972678490926,0.9995869995519295,0.7856000274871671
302742315,39.2289842,9.1228544,0.9998365545008606,0.9999558182644614,0.9996576588554593,0.7846496500104707
302742316,39.2286282,9.1227871,0.9998181707006304,0.9999277803641122,0.9996537562054078,0.784059081409797
302742321,39.2272961,9.1189266,0.9978274273529342,0.9990200630795983,0.996038473762938,0.770619420063278
302742322,39.2267545,9.1191377,0.9969888594484703,0.99847903262541,0.9947535996830605,0.7664087039634815
302742339,39.2268243,9.1259347,0.9997677528572005,0.9997418725127467,0.9997677528572005,0.7920147580463346
302742341,39.2267483,9.1266628,0.99976435305564,0.9998113461487051,0.9996938634160425,0.7927456101286363
302742343,39.2266785,9.1278563,0.9997244084843737,0.9997992482383972,0.9996121488533385,0.792509956921692
302742346,39.2266685,9.1281603,0.9995466208122818,0.9998009331967844,0.9991651522355279,0.7921114986913411
302742348,39.2263786,9.128921,0.9996898902674964,0.9998899883017235,0.9993897432161559,0.7934891461150588
302742349,39.2259076,9.129914,0.9996263226245812,0.9997991815453021,0.9993670342434998,0.7947628120443656
302742350,39.2241451,9.127589,0.9998815311406288,0.9999398667127708,0.999794027782416,0.7956090499660785
302742351,39.2254356,9.1283599,0.9998598543086528,0.9999816274347127,0.9996771946195627,0.7949811978892418
302742352,39.2274377,9.1297987,0.9992140548694594,0.9994876897959352,0.9988036024797458,0.7914143377205528
302742353,39.2290392,9.1311235,0.9992588216473288,0.9987191590410216,0.9992588216473288,0.7895825438686424
302742354,39.2310992,9.1328221,0.9969955213335266,0.9944100524149623,0.9969955213335266,0.7828604881365181
301811628,39.244023,9.1226626,0.9941953074226658,0.9910647352214357,0.9941953074226658,0.7583951968577777
301811629,39.2442715,9.1232845,0.9937801517008853,0.9910123440659585,0.9937801517008853,0.7605637274953434
301811633,39.2444999,9.1239387,0.9944382440504049,0.991203109192994,0.9944382440504049,0.7630954673693023
301811634,39.2448363,9.1251729,0.9940276928915373,0.9905003401751122,0.9940276928915373,0.7635819662140567
301811635,39.2450355,9.1257269,0.9933424348350259,0.9893434082344108,0.9933424348350259,0.7628914372930402
301811636,39.2452893,9.1265641,0.9927681986054943,0.9876675339650121,0.9927681986054943,0.7614495737392741
301811637,39.2454523,9.1272441,0.9980123617337529,0.9867642459619886,0.9980123617337529,0.7723441251461369
301811641,39.2373688,9.1247952,0.9975748883817387,0.9914079928960878,0.9975748883817387,0.7855541462402785
301811642,39.2385873,9.125298,0.9958793724718165,0.9926502566850609,0.9958793724718165,0.7840323275010501
301811643,39.2386216,9.1253119,0.9958699446253658,0.9926709109738266,0.9958699446253658,0.7840285548977146
301811644,39.2395169,9.1255975,0.9953891093513775,0.9939403485594608,0.9953891093513775,0.7833833567078894
301811645,39.2399364,9.1256911,0.9946329664200848,0.9938018578778159,0.9946329664200848,0.7826218516788548
301811689,39.2402947,9.1257687,0.9939185810732654,0.9934799414358881,0.9939185810732654,0.7816348850585548
301811691,39.2410177,9.1259766,0.9934742222432746,0.9930283147020071,0.9934742222432746,0.7814474873851189
301811694,39.2414,9.1262254,0.9934859524526364,0.9911272362695521,0.9934859524526364,0.7784443304271458
301811696,39.2420166,9.1266628,0.994306210535781,0.9814583002229958,0.994306210535781,0.7672313527840268
301811698,39.242416,9.1269339,0.9952782691223324,0.9810351788776532,0.9952782691223324,0.767923572133272
301811701,39.2437599,9.1278774,0.9973161798728337,0.9849752820256247,0.9973161798728337,0.7685374566998919
301811703,39.2446849,9.1282828,0.9983495295415635,0.9862220181378863,0.9983495295415635,0.7704218505550711
301811704,39.2453307,9.128718,0.9988410297697247,0.986272331411043,0.9988410297697247,0.7721523646079217
302743015,39.2210276,9.1353165,0.9981100075677537,0.9966106769367181,0.9981100075677537,0.7920118199267763
302743018,39.222567,9.1369934,0.9989283581485058,0.9971373744948063,0.9989283581485058,0.786571789618292
302743020,39.2231529,9.1380942,0.9982327059158183,0.995815307671916,0.9982327059158183,0.7825015089031704
302743027,39.224279,9.1350176,0.9992691211417704,0.9980628587779485,0.9992691211417704,0.7876351010356824
302743029,39.2259189,9.1338855,0.9986000237502894,0.9982391350667928,0.9986000237502894,0.7874587666807561
302743031,39.2254488,9.1356802,0.9974187603734568,0.9967366402957302,0.9974187603734568,0.7810302156756128
302743032,39.225546,9.1365446,0.9956106706310685,0.9954887747372809,0.9956106706310685,0.7778820635675148
302743034,39.2256373,9.1372283,0.9942799659435886,0.9942799320110008,0.9942799659435886,0.7750155398359153
302743037,39.2262208,9.1354465,0.9973374266642421,0.9974128317698246,0.9972243190058682,0.7843336132409422
302743045,39.2261141,9.1363937,0.9941945518900501,0.9941970566060618,0.9941907948160327,0.7748313937020915
302743046,39.224945,9.1366204,0.9941430675475974,0.9941470833234244,0.9941370438838568,0.7747208372539935
302743050,39.2232639,9.1348489,0.9989216499808942,0.9962606013664271,0.9989216499808942,0.78806107850288
302743052,39.2226705,9.1350764,0.999305939438026,0.9972756142698822,0.999305939438026,0.7903361244825275
302743068,39.2266205,9.135306,0.9968191964387297,0.9970384486019412,0.9964903181939124,0.7830035608437179
302743069,39.2274395,9.1350657,0.9955788956973443,0.9960463053555285,0.9948777812100679,0.7805919822519013
302743070,39.2278407,9.1346482,0.9945964639691187,0.9951945498741925,0.993699335111508,0.7785562931632746
302743071,39.2282322,9.1342705,0.9935055445441744,0.9942910650411267,0.9923272637987458,0.7762842245317786
302743072,39.2286317,9.1338352,0.9925739122698959,0.9932280893244769,0.9915926466880244,0.7736231017517854
302743073,39.2293294,9.1347845,0.994094163684321,0.9948393099327291,0.992976444311709,0.7752117811757282
302743074,39.2289742,9.1352434,0.9934663812866212,0.9947092193531819,0.9916021241867803,0.773671481593931
302742443,39.2086117,9.1329013,0.9990934539666072,0.9990076340603214,0.9990934539666072,0.7856620570418136
302742444,39.2081475,9.1334922,0.9990926711039366,0.9990815297027537,0.9990926711039366,0.7838954257663754
302742445,39.2075549,9.1341477,0.9992479797713724,0.9993249753304815,0.9991324864327088,0.7811570898304288
302742446,39.2138348,9.1284708,0.9988624360444881,0.9977484236731018,0.9988624360444881,0.7941320164220433
302742447,39.2137882,9.1288258,0.997939846707832,0.9966396783682614,0.997939846707832,0.7938073971570678
302742450,39.2208873,9.13079,0.9994554983099816,0.9984364060279434,0.9994554983099816,0.7968036285233989
302742451,39.2208718,9.1313399,0.999229889959171,0.9978993750952545,0.999229889959171,0.7965452951911441
302742454,39.221479,9.1324135,0.9981886228348115,0.9966409242600578,0.9981886228348115,0.7959450321144385
302742457,39.2217878,9.1328433,0.9967661707136052,0.9947153591817717,0.9967661707136052,0.7950377017874574
302742459,39.2221014,9.1332584,0.995843620124731,0.9935694149296427,0.995843620124731,0.7944781836108404
302742461,39.2214738,9.1313693,0.9978610223678964,0.99602741568438,0.9978610223678964,0.7956720745081931
302742464,39.2221726,9.1303404,0.9991759715758907,0.9984818784653223,0.9991759715758907,0.796661071249497
302742466,39.2221536,9.1313826,0.9982736563155608,0.9971256986572912,0.9982736563155608,0.7958606487794584
302742468,39.2222593,9.1314956,0.9984212969989917,0.9974522617216316,0.9984212969989917,0.7959133924377653
302742470,39.2225564,9.1319281,0.9978747123893331,0.9966813762461981,0.9978747123893331,0.7955809271113774
302742471,39.2228059,9.1322696,0.9972537492952817,0.995858104697566,0.9972537492952817,0.7952070423356954
302742475,39.2211413,9.1328133,0.9975111368406925,0.9956777802572025,0.9975111368406925,0.7955081165455418
302742477,39.2204593,9.1321416,0.9957937941354792,0.9933995328422249,0.9957937941354792,0.7944375494098872
302742479,39.2208298,9.133218,0.9967425931621285,0.9946788198138058,0.9967425931621285,0.7950327245533927
302742889,39.2127471,9.1281904,0.9987825111022862,0.9972865109174915,0.9987825111022862,0.7924327452170804
291585173,39.1984338,9.1434803,0.9952802695889628,0.9926955927095982,0.9952802695889628,0.6949988344641962
291585174,39.1983901,9.1436427,0.9951542485926511,0.992839721096749,0.9951542485926511,0.6956921809653894
291585177,39.1986818,9.1434501,0.9956225368020347,0.992339268009453,0.9956225368020347,0.6936281166571061
291585264,39.1984865,9.1438407,0.9951807028729961,0.9928123078788552,0.9951807028729961,0.6969923786697456
291585356,39.1937099,9.0593134,0.5398446937663177,0.8997411562771962,0.0,0.0
291585359,39.2226536,9.0570428,0.3900202186873077,0.6500336978121795,0.0,0.0
291585364,39.2124102,9.114381,0.9992783068620289,0.9998886892518761,0.9983627332772581,0.799330389246763
291585367,39.2035828,9.128644,0.9712898043919662,0.9893033450923887,0.9442694933413326,0.6863659102162519
291585368,39.2025624,9.1305152,0.9661489833723689,0.9748537423822412,0.9530918448575604,0.6496676371946034
291585531,39.1677057,9.0333197,0.5398446937663177,0.8997411562771962,0.0,0.0
291719654,39.2161269,9.1097041,0.9993243017008616,0.9999971340481445,0.9983150531799373,0.7995639309222253
291719655,39.2168847,9.108506,0.9995701670927978,0.9999934525801285,0.9989352388618018,0.7995798857577472
291927171,39.2222841,9.0819136,0.5398446937663177,0.8997411562771962,0.0,0.0
291927208,39.2260146,9.0688677,0.3460021166335397,0.5766701943892328,0.0,0.0
291927212,39.2150086,9.0892804,0.5398446937663177,0.8997411562771962,0.0,0.0
291927274,39.2263743,9.0725273,0.3508068575175309,0.5846780958625515,0.0,0.0
291927286,39.2158059,9.0549816,0.5398446937663177,0.8997411562771962,0.0,0.0
291927343,39.2222729,9.0561955,0.34987597151308175,0.5831266191884696,0.0,0.0
291927360,39.218199,9.0541715,0.5398446937663177,0.8997411562771962,0.0,0.0
291927473,39.2211747,9.0969283,0.9291321250030433,0.9304539908482883,0.9271493262351759,0.6623700635719215
31498899,39.2601203,9.1018122,0.6643503240852777,0.6369231914980633,0.6643503240852777,0.41192754365369116
31498915,39.2615302,9.0898185,0.7972826140640259,0.7645490099828182,0.7972826140640259,0.499115140785067
31498927,39.2594743,9.084083,0.8648227808116612,0.830089409164874,0.8648227808116612,0.552293452206232
86103292,39.2112981,9.1040352,0.9855708290486711,0.9872452881907986,0.9830591403354798,0.7778391230876538
259877016,39.2075255,9.1242555,0.9966521555023691,0.998258011201974,0.9942433719529616,0.7788888582374823
265659800,39.2156971,9.1711803,0.9147006227353962,0.9631656743118994,0.8420030453706414,0.3774529024335897
265659808,39.2154775,9.1703205,0.9326043270855978,0.9711180634550468,0.8748337225314243,0.40461923862839017
