node_id,lat,lon,capability_restorativeness,service_sport_and_movement,service_scenic_views,service_quietness,service_cultural_activities,service_nature_contact
302132234,39.2292882,9.1175257,0.9975949184504327,0.9965214771669216,0.9975949184504327,0.9948416169385726,0.838297660291045,0.9975949184504327
302132236,39.2291335,9.1175852,0.9976826316249748,0.9965397298231345,0.9976826316249748,0.9947553490468529,0.8383247815823357,0.9976826316249748
302132288,39.2283383,9.1189444,0.9992120794047413,0.9978748788520757,0.9992120794047413,0.9959659117268217,0.8394322245353655,0.9992120794047413
302132296,39.2285978,9.1194637,0.9993965206471414,0.9979807072888894,0.9993965206471414,0.9956677247901757,0.8395011681286526,0.9993965206471414
302132298,39.2286836,9.1199547,0.9995269692646087,0.9982879433605942,0.9995269692646087,0.9961618289923905,0.8395577051892352,0.9995269692646087
302132358,39.2317197,9.1213274,0.9994084191091975,0.998631921521929,0.9994084191091975,0.9949312417377782,0.8374317450694091,0.9994084191091975
302132369,39.2303252,9.1237424,0.9997009758267248,0.9990463624204465,0.9997009758267248,0.9919647200224133,0.8369916438141662,0.9997009758267248
302132399,39.2297265,9.1250813,0.9998311950045835,0.9991440578954648,0.9998311950045835,0.9912161382726147,0.8365335058251999,0.9998311950045835
302742075,39.2180559,9.118354,0.9945567229099858,0.9890488886910309,0.9945567229099858,0.9890638440571717,0.8381609477371946,0.9945567229099858
302742076,39.2188038,9.1185188,0.996918841395617,0.993437259760771,0.996918841395617,0.9908082134096396,0.8380659575351326,0.996918841395617
302742078,39.2200787,9.1188178,0.9967239205084104,0.9944532697118792,0.9967239205084104,0.9897164855138535,0.8372389678988186,0.9967239205084104
302742079,39.2201757,9.1188457,0.9968102881927162,0.9945809689814408,0.9968102881927162,0.989722743876525,0.8373109743909818,0.9968102881927162
302742080,39.2204701,9.1189974,0.9971383723211518,0.9949653539582282,0.9971383723211518,0.9898156867085449,0.8376059287801254,0.9971383723211518
302742081,39.2206294,9.1190746,0.9971539429264188,0.99526767105743,0.9971539429264188,0.9897722990635935,0.8375933232766218,0.9971539429264188
302742083,39.2216228,9.1196063,0.9976964976250706,0.9957524240234455,0.9976964976250706,0.9889496353309105,0.8383044768355978,0.9976964976250706
302742084,39.2222477,9.1198262,0.9971911882672488,0.9955775919713424,0.9971911882672488,0.9865790601563119,0.8379909077759693,0.9971911882672488
302742085,39.2240302,9.1199475,0.9988960217461881,0.9968965950592141,0.9988960217461881,0.9905093299686362,0.8393167179861871,0.9988960217461881
302742086,39.2248733,9.1199336,0.9993347583643393,0.9963983499794546,0.9993347583643393,0.9915720603406634,0.8396626946321107,0.9993347583643393
302742087,39.2256242,9.1197405,0.9981765190468727,0.9966216897141261,0.9981765190468727,0.9924459042815742,0.838707763964075,0.9981765190468727
302742088,39.226978,9.1199316,0.9992785930609837,0.9967151480419499,0.9992785930609837,0.992079397939369,0.8396377696418544,0.9992785930609837
302742310,39.2380291,9.131027,0.9988358815242868,0.9988358815242868,0.9957064259881393,0.9943523939620754,0.8266545435162708,0.9957064259881393
302742311,39.2296979,9.1263537,0.9997379862116073,0.9992989890843701,0.9997379862116073,0.9920338111117767,0.8347351808103208,0.9997379862116073
302742312,39.2288864,9.1227978,0.9998142210051871,0.9985470653136332,0.9998142210051871,0.9929309068874508,0.8393402173146556,0.9998142210051871
302742313,39.2306375,9.1231039,0.9997265872296589,0.9990093527733486,0.9997265872296589,0.992601728906119,0.8376745822758922,0.9997265872296589
302742314,39.2301959,9.1228978,0.9997455692789013,0.9987175470935964,0.9997455692789013,0.9921576476370402,0.8382682348044148,0.9997455692789013
302742315,39.2289842,9.1228544,0.999805618274022,0.9985220916300596,0.999805618274022,0.9928955966593759,0.8393280000607308,0.999805618274022
302742316,39.2286282,9.1227871,0.9998216877500212,0.9984901811381395,0.9998216877500212,0.9930055653074932,0.8394021750927839,0.9998216877500212
302742321,39.2272961,9.1189266,0.9990367141853065,0.9955627995781576,0.9990367141853065,0.9919333083535178,0.8391914611704564,0.9990367141853065
302742322,39.2267545,9.1191377,0.998514270162568,0.9948129592378868,0.998514270162568,0.9904936404419404,0.8388408260363699,0.998514270162568
302742339,39.2268243,9.1259347,0.9995141077098394,0.99903465582457,0.9995141077098394,0.9871979219376059,0.8386190262914848,0.9995141077098394
302742341,39.2267483,9.1266628,0.9991205031837864,0.9984015737845764,0.9991205031837864,0.9820565247689805,0.8384729582308044,0.9991205031837864
302742343,39.2266785,9.1278563,0.9986790831686854,0.9986790831686854,0.9982794407321279,0.9818907070050131,0.8367942078065359,0.9982760898201652
302742346,39.2266685,9.1281603,0.9976673654121277,0.9976673654121277,0.9972081436891576,0.9783852651151678,0.8367038948084055,0.9971613949187086
302742348,39.2263786,9.128921,0.998238244652398,0.998238244652398,0.9975495330051255,0.9790662042211355,0.8369839710135699,0.9975495330051255
302742349,39.2259076,9.129914,0.9985308532975421,0.9985308532975421,0.9970078667413125,0.9790221470450984,0.836153725449674,0.9970078667413125
302742350,39.2241451,9.127589,0.9970426881732036,0.9968690753314947,0.9970426881732036,0.9765832928799747,0.8365867134250271,0.9970426881732036
302742351,39.2254356,9.1283599,0.9983919147784039,0.9983919147784039,0.9981643718387487,0.9786670250520655,0.8380564321647362,0.9981643718387487
302742352,39.2274377,9.1297987,0.9982984284822469,0.9982984284822469,0.998091075818454,0.9833945239349087,0.8354552996567057,0.998091075818454
302742353,39.2290392,9.1311235,0.9995172721606282,0.9995172721606282,0.9989769334729364,0.9871077639236727,0.8323261067133083,0.9989769334729364
302742354,39.2310992,9.1328221,0.9990987300351198,0.9990987300351198,0.9970278361484699,0.9815462523623224,0.8226456652003223,0.9970278361484699
301811628,39.244023,9.1226626,0.9953971418005604,0.9953971418005604,0.9953229811004363,0.9900859057599232,0.8202268430797738,0.9953229811004363
