node_id,lat,lon,capability_to_eat,dining_out_service,on_the_go_service
11795253915,39.2423344,9.1367794,0.9809225751021716,0.9779197515851865,0.9854268103776493
11795253917,39.2423111,9.1367438,0.9809031891410037,0.9778970889830833,0.9854123393778844
11795253923,39.2409107,9.1351391,0.9819244028250069,0.9792508831801867,0.9859346822922372
11795260379,39.2396009,9.1324383,0.9752799919875016,0.9714218254627204,0.9810672417746733
11795260380,39.2404086,9.1343204,0.9794473140235673,0.9759631250696386,0.9846735974544605
11795260381,39.2402957,9.1344108,0.9794459026049067,0.9758714129239756,0.9848076371263035
11795260382,39.2402821,9.1344169,0.9794381802652027,0.9758637856472595,0.9847997721921176
11795260383,39.2408056,9.1352425,0.9814687230686089,0.9785180434091449,0.9858947425578047
11795260384,39.2407949,9.1352534,0.9815107891635128,0.978504561778773,0.9860201302406223
11795260385,39.2417816,9.1364,0.9839926552167712,0.9816303955067295,0.9875360447818338
11795260386,39.2417706,9.1364193,0.9839811583241201,0.9816153973093288,0.9875297998463071
11795260387,39.2418555,9.136267,0.9838594562448932,0.9816607882153929,0.9871574582891437
11795260388,39.2426339,9.1372346,0.9827889058899503,0.9802734045094076,0.9865621579607642
11795260410,39.2423339,9.1366143,0.9808228106325876,0.9778115401498313,0.9853397163567221
11795260411,39.2423595,9.1366867,0.9808792059230319,0.9778807399460755,0.9853769048884666
11795260419,39.2380629,9.1311249,0.9692442191468907,0.9640253131809601,0.9770725780957866
11795260420,39.2379431,9.1310456,0.9689560255726603,0.9636694573897313,0.9768858778470537
11795260421,39.238046,9.1311138,0.9692174308045929,0.9639938193662514,0.9770528479621051
11795260422,39.2379916,9.1310781,0.9692466039128431,0.9645599505981556,0.9762765838848744
11795260437,39.2374056,9.1308677,0.9703220527982351,0.9652405411439823,0.9779443202796143
11795264469,39.2305339,9.1304105,0.9581574050695496,0.9519294049812563,0.9674994052019896
11795264470,39.2378449,9.1311757,0.9692389268302107,0.9646026401304212,0.976193356879895
11795264471,39.2326022,9.1316657,0.9621724506836121,0.9557991071269069,0.9717324660186699
11795264472,39.2327171,9.1317254,0.962649186251305,0.9563578452786176,0.9720861977103363
11795264473,39.2374024,9.131767,0.9695367668403799,0.9649065849676992,0.9764820396494011
11795264474,39.2330828,9.13192,0.9635514595722672,0.957764144979737,0.9722324314610624
11795264475,39.2337287,9.1322572,0.9636588942065355,0.9578151806168315,0.9724244645910917
11795264476,39.2350074,9.1329152,0.9676269569017537,0.9627112862689474,0.9750004628509631
11795264477,39.2352516,9.1330081,0.968831850560294,0.9641469992617486,0.9758591275081121
11795264478,39.2356599,9.1330735,0.9692893909309463,0.9648521522469721,0.9759452489569077
11795264479,39.2357542,9.1330706,0.969234694968932,0.9647739112941132,0.9759258704811602
11795264483,39.2292323,9.1289145,0.9526799704190472,0.9455373959879256,0.9633938320657296
11795264484,39.2289358,9.1285026,0.9506534643715199,0.9435159928408768,0.9613596716674845
11795264485,39.2291225,9.1287586,0.9525276311340785,0.9456552807089678,0.9628361567717445
11795264486,39.2293039,9.1288184,0.9526495549077648,0.9455022096296247,0.9633705728249751
11795264487,39.2292677,9.128867,0.9524220626822117,0.9452395194647164,0.9631958775084548
11795264490,39.2296003,9.1294702,0.954891317606673,0.9479876421072919,0.9652468308557447
11795264491,39.2297123,9.1296172,0.9550217262874842,0.9481335330486217,0.965354016145778
11795264492,39.2298017,9.1297344,0.9560400787109882,0.9495460228134757,0.9657811625572569
11795264493,39.2297678,9.12969,0.955289121890607,0.9484492182849613,0.9655489772990755
11795264502,39.2316737,9.1311737,0.9592963921223866,0.9527580357038291,0.9691039267502227
11795264503,39.2316323,9.1313081,0.9592723327323605,0.9527352831136547,0.969077907160419
11795264504,39.2316531,9.1312407,0.9590513277106802,0.9524722264964682,0.9689199795319984
11795264505,39.2316815,9.1311513,0.9593318419834183,0.9527993848672884,0.969130527657613
11795264506,39.2316267,9.1313259,0.9593000802343123,0.9527676364680676,0.9690987458836795
11795264509,39.2324627,9.1317547,0.9619972263782671,0.9555903458776718,0.9716075471291602
11795264510,39.2322766,9.1316541,0.9628049359781629,0.9568591252614974,0.9717236520531609
11795264511,39.2325053,9.1315852,0.9619747113833187,0.95556353326498,0.9715914785608266
11795264512,39.2324596,9.1317672,0.9620149490513606,0.9556111639868619,0.9716206266481089
11795264513,39.2324819,9.1316798,0.9617807694711804,0.9553319168931611,0.9714540483382094
11795264518,39.2337764,9.13245,0.9638721226288965,0.9581080055532809,0.97251829824232
11795264519,39.233681,9.132398,0.9637172251457439,0.9578833785367663,0.9724679950592101
11795264520,39.2338265,9.1323097,0.963782564439996,0.9580035580210917,0.9724510740683523
11795264526,39.235651,9.1332103,0.9693693859228968,0.9649456134659387,0.9760050446083339
