from_lat,from_lon,to_lat,to_lon,google_maps_transit_url,travel_time,wait_time,impedance,is_missing
39.234398,9.102267,39.169396,9.032392,https://www.google.com/maps/dir/?api=1&origin=39.234398%2C9.102267&destination=39.169396%2C9.032392&travelmode=transit&departure_time=1760529600,,,,1
39.214582,9.157336,39.230101,9.137002,https://www.google.com/maps/dir/?api=1&origin=39.214582%2C9.157336&destination=39.230101%2C9.137002&travelmode=transit&departure_time=1760529600,,,,1
39.217993,9.05421,39.225824,9.133397,https://www.google.com/maps/dir/?api=1&origin=39.217993%2C9.05421&destination=39.225824%2C9.133397&travelmode=transit&departure_time=1760529600,,,,1
39.239286,9.129257,39.194842,9.062376,https://www.google.com/maps/dir/?api=1&origin=39.239286%2C9.129257&destination=39.194842%2C9.062376&travelmode=transit&departure_time=1760529600,,,,1
39.226595,9.070994,39.219436,9.109069,https://www.google.com/maps/dir/?api=1&origin=39.226595%2C9.070994&destination=39.219436%2C9.109069&travelmode=transit&departure_time=1760529600,,,,1
39.218808,9.114971,39.167852,9.030034,https://www.google.com/maps/dir/?api=1&origin=39.218808%2C9.114971&destination=39.167852%2C9.030034&travelmode=transit&departure_time=1760529600,,,,1
39.259234,9.116561,39.225467,9.080888,https://www.google.com/maps/dir/?api=1&origin=39.259234%2C9.116561&destination=39.225467%2C9.080888&travelmode=transit&departure_time=1760529600,,,,1
39.168405,9.033025,39.236987,9.116731,https://www.google.com/maps/dir/?api=1&origin=39.168405%2C9.033025&destination=39.236987%2C9.116731&travelmode=transit&departure_time=1760529600,,,,1
39.217549,9.05587,39.192838,9.138692,https://www.google.com/maps/dir/?api=1&origin=39.217549%2C9.05587&destination=39.192838%2C9.138692&travelmode=transit&departure_time=1760529600,,,,1
39.232784,9.131149,39.183843,9.161033,https://www.google.com/maps/dir/?api=1&origin=39.232784%2C9.131149&destination=39.183843%2C9.161033&travelmode=transit&departure_time=1760529600,,,,1
39.226595,9.070994,39.232875,9.128879,https://www.google.com/maps/dir/?api=1&origin=39.226595%2C9.070994&destination=39.232875%2C9.128879&travelmode=transit&departure_time=1760529600,,,,1
39.22225,9.056326,39.201158,9.136186,https://www.google.com/maps/dir/?api=1&origin=39.22225%2C9.056326&destination=39.201158%2C9.136186&travelmode=transit&departure_time=1760529600,,,,1
39.217686,9.101181,39.219002,9.156229,https://www.google.com/maps/dir/?api=1&origin=39.217686%2C9.101181&destination=39.219002%2C9.156229&travelmode=transit&departure_time=1760529600,,,,1
39.251703,9.134604,39.233584,9.035058,https://www.google.com/maps/dir/?api=1&origin=39.251703%2C9.134604&destination=39.233584%2C9.035058&travelmode=transit&departure_time=1760529600,,,,1
