node_id,lat,lon,capability_care,service_medicines_and_supplies,service_impatient_and_care,service_rehabilitation_services,service_diagnosis_and_prevention,service_emergency_services,service_care_services
302132234,39.2292882,9.1175257,0.998677468852064,0.9964396834549749,0.998677468852064,0.44055183592517777,0.9449320033329467,0.9957973305356106,0.9727605600936416
302132236,39.2291335,9.1175852,0.9987828022576051,0.996529637052487,0.998782802257605,0.4415001769088182,0.9453083048551961,0.9958478237358136,0.9729987130137456
302132288,39.2283383,9.1189444,0.9995900791258835,0.9980818519941695,0.9995900791258835,0.4458013378490977,0.9472838819441313,0.9966891198735965,0.9807440322398472
302132296,39.2285978,9.1194637,0.9997134166552972,0.9983780656220301,0.9997134166552972,0.44240166473524334,0.9456215237915827,0.9966204558459372,0.9815376326952041
302132298,39.2286836,9.1199547,0.9997536457369146,0.9985758012022806,0.9997536457369146,0.4438454181986208,0.9463626205028763,0.9967066366710009,0.9825000879941752
302132358,39.2317197,9.1213274,0.9983753940038484,0.9987822967733546,0.9967477829258244,0.4243588218254664,0.9369017488332333,0.9942500203892858,0.9803175439110627
302132369,39.2303252,9.1237424,0.9960995834332157,0.99653321101944,0.9943650730883186,0.4136787447150845,0.9326532805756665,0.9934779514411042,0.9803277179201314
302132399,39.2297265,9.1250813,0.9946080832568588,0.9947651074238122,0.9939799865890446,0.4068701669114118,0.9311009972107348,0.9930749122410106,0.9803354626709869
302742075,39.2180559,9.118354,0.999684571237137,0.9962484933655937,0.999684571237137,0.43213029480878595,0.9562651498949657,0.9560006400905195,0.9443212256461698
302742076,39.2188038,9.1185188,0.9999650067011084,0.9973695201023183,0.9999650067011083,0.4384607110425835,0.9557705368992356,0.9825872589926635,0.9593814155706563
302742078,39.2200787,9.1188178,0.9999999849880072,0.997715563458749,0.9999999849880072,0.4331755230898935,0.9504005042162631,0.9862548913802801,0.9669953841992399
302742079,39.2201757,9.1188457,0.9999999898589229,0.9978718782490966,0.999999989858923,0.4330510646291839,0.9504597122042228,0.9865282548271037,0.9672077107817403
302742080,39.2204701,9.1189974,0.9999999976924779,0.9979732799433584,0.9999999976924779,0.43354027112271604,0.9501519275610746,0.9880130238165532,0.9684083999264204
302742081,39.2206294,9.1190746,0.9999999978676234,0.997776359302169,0.9999999978676234,0.43391006354193834,0.9496311294541095,0.988473858294936,0.9683198000927211
302742083,39.2216228,9.1196063,0.9999999028688085,0.9975691789077401,0.9999999028688085,0.4401716264108845,0.9421543287628658,0.9917005455968203,0.9701651699796229
302742084,39.2222477,9.1198262,0.9999992660129042,0.9975717410867678,0.9999992660129042,0.42921174183389105,0.9330779765745059,0.9892308761340595,0.9704884394669259
302742085,39.2240302,9.1199475,0.9999998391399941,0.9989312558103937,0.9999998391399941,0.42728047169235533,0.9388864105981847,0.9937832563040111,0.9750498053420272
302742086,39.2248733,9.1199336,0.9999993319188109,0.9982052161542666,0.9999993319188109,0.43085439090778177,0.9404761706618686,0.9944884238677635,0.9754428357420265
302742087,39.2256242,9.1197405,0.9999999621234374,0.9979273869268072,0.9999999621234374,0.4290351867186837,0.9425036905144286,0.9949916621278397,0.9728643061995554
302742088,39.226978,9.1199316,0.9999961681308221,0.9985525931500442,0.9999961681308221,0.4247341008337401,0.9396090001512716,0.9961117868558265,0.9794856978688511
302742310,39.2380291,9.131027,0.990866600568779,0.9947706341849036,0.9498238354552347,0.3623158388911843,0.8712318631458176,0.9379776740462,0.9752504661042802
302742311,39.2296979,9.1263537,0.9929200562353434,0.9931417310149286,0.9920333571170027,0.400134462666083,0.9280309294380678,0.9920333571170027,0.979589663478027
302742312,39.2288864,9.1227978,0.9985879333736332,0.9975176800208807,0.998587933373633,0.42342605025177565,0.9374413146850032,0.9943661138770353,0.9829443187982073
302742313,39.2306375,9.1231039,0.9970525986496039,0.997461097604148,0.9954186028314276,0.4135595215399975,0.9334244967152867,0.9940142090412847,0.9806028365560704
302742314,39.2301959,9.1228978,0.9971067359524732,0.9972079608550007,0.9967018363423634,0.4158124882747113,0.9341333539900553,0.9933443471106549,0.9804774354257111
302742315,39.2289842,9.1228544,0.9986150494007278,0.9975425256540369,0.9986150494007278,0.42355623688905597,0.9374993143212157,0.9943689534997715,0.9829417494215927
302742316,39.2286282,9.1227871,0.9986327015196632,0.9973950779744919,0.9986327015196632,0.42335328033149955,0.9374490109846364,0.9944924160694325,0.9828737081568993
302742321,39.2272961,9.1189266,0.9999872510421836,0.9971424586255109,0.9999872510421836,0.4210405340140783,0.9377300329327753,0.995393680370913,0.9752513319192871
302742322,39.2267545,9.1191377,0.999962003378607,0.9961470946601823,0.999962003378607,0.4135593626387937,0.9346150558022517,0.9942339304214952,0.9723444681296587
302742339,39.2268243,9.1259347,0.9926376500476906,0.9928643841196295,0.9917307137599347,0.3942798760262355,0.9300075836344789,0.9917307137599347,0.9827418928935178
302742341,39.2267483,9.1266628,0.9920768424366463,0.9925335525749236,0.9902500018835368,0.3777231050468328,0.9308207182167889,0.988565716501069,0.9796103585957341
302742343,39.2266785,9.1278563,0.9888595578950087,0.9890767013819558,0.9879909839472194,0.3783649580837027,0.9291506426686723,0.9879909839472194,0.9776907785230936
302742346,39.2266685,9.1281603,0.9877677044384818,0.9886907175941066,0.9840756518159823,0.36080833279507657,0.9288170111141083,0.9837281458683306,0.9751629498414256
302742348,39.2263786,9.128921,0.9898647727040563,0.9908517268356021,0.9859169561778732,0.36463253822158403,0.9323706244331444,0.9842194709426354,0.9782629551791051
302742349,39.2259076,9.129914,0.9891678894978598,0.9904561874800281,0.9840146975691876,0.36303503701861245,0.9374810602508731,0.9815711007002091,0.9812391947315591
302742350,39.2241451,9.127589,0.9963913347882227,0.9968385523474768,0.9946024645512067,0.3771064350974819,0.9454053001501583,0.9854752427107359,0.9832209057589948
302742351,39.2254356,9.1283599,0.9931678997148286,0.9938960982877934,0.9902551054229692,0.371162762309603,0.9385959267366373,0.9858231789103166,0.9815127040247664
302742352,39.2274377,9.1297987,0.9859710897171039,0.986697622477645,0.9830649586749393,0.36394046393841173,0.9252559742995993,0.9830649586749393,0.9787823896376903
302742353,39.2290392,9.1311235,0.985312956732966,0.9856796498063429,0.9811249038599295,0.374457663915704,0.9121247394604399,0.9811249038599295,0.9838461844394586
302742354,39.2310992,9.1328221,0.9770505512138515,0.9783020051846295,0.9678506185056284,0.35727280137486855,0.8893061818171782,0.9678506185056284,0.97204473533074
301811628,39.244023,9.1226626,0.9869301119642546,0.9937410587481212,0.9596863248287882,0.40670908073446566,0.8943347623606193,0.9596863248287882,0.9591569014351657
301811629,39.2442715,9.1232845,0.98801474525819,0.994817642234007,0.9571126470058838,0.4050902473177937,0.8918944878093755,0.9571126470058838,0.9608031573549218
301811633,39.2444999,9.1239387,0.9894999716040612,0.995758182835853,0.9578518684224373,0.406084748612892,0.8928319155830075,0.9578518684224373,0.9644671266768942
301811634,39.2448363,9.1251729,0.9894503275305835,0.9959000815676707,0.9569298420248482,0.4053537630819916,0.8919693622128579,0.9569298420248482,0.9636513113822343
301811635,39.2450355,9.1257269,0.9893761464912768,0.9960530666176007,0.9542364721490906,0.4037987854375876,0.8893922058943101,0.9542364721490906,0.9626684659859809
301811636,39.2452893,9.1265641,0.9896423482438789,0.9963543940525991,0.9497187624841817,0.40109704723507306,0.8850438764142963,0.9497187624841817,0.9627941650089978
301811637,39.2454523,9.1272441,0.994187653224645,0.9986092245856888,0.9478107147189885,0.3979013373942688,0.8810882531634017,0.9453634735111324,0.9765013677804699
301811641,39.2373688,9.1247952,0.9899427699919547,0.9936851789662404,0.9749731340948115,0.40704205177569003,0.9192881497984763,0.9749731340948115,0.9618889540865991
