"poi_type","decay_coefficient","choquet_interactions","tags","labels"
"passive_consumption","24","[None,0.03,0.05]","[{""amenity"": ""cinema""}, {""amenity"": ""theatre""}, {""amenity"": ""events_venue""}]","[""amenity_cinema"", ""amenity_theatre"", ""F303"", ""F315"", ""amenity_events_venue""]"
"mediated_experience","36","[0.03,None,0.0]","[{""tourism"": ""museum""}, {""historic"": [""castle"", ""fort"", ""ruins"", ""archaeological_site"", ""citywalls"", ""city_gate"", ""tower"", ""church"", ""monastery"", ""manor"", ""building""]}, {""tourism"": ""attraction""}, {""tourism"": ""gallery""}, {""tourism"": ""artwork""}]","[""tourism_museum"", ""historic_tourism_attraction"", ""F312"", ""F313"", ""F314"", ""tourism_gallery"", ""tourism_artwork""]"
"cultural_production","14.4","[0.05,-0.0,None]","[{""amenity"": ""arts_centre""}, {""amenity"": ""library""}, {""amenity"": ""community_centre""}, {""amenity"": ""music_school""}, {""leisure"": ""hackerspace""}, {""craft"": true}]","[""amenity_arts_centre"", ""amenity_library"", ""F305"", ""F307"", ""amenity_community_centre"", ""amenity_music_school"", ""leisure_hackerspace"", ""craft_any""]"
"high_nature_immersion","36","[None,0.03,0]","[{""waterway"": ""river""}, {""waterway"": ""stream""}, {""natural"": ""water""}, {""natural"": [""wood"", ""scrub"", ""heath"", ""grassland""]}, {""landuse"": [""forest"", ""meadow""]}, {""leisure"": ""nature_reserve""}, {""boundary"": ""national_park""}]","[""landuse_forest"", ""natural_wood"", ""natural_grassland"", ""landuse_meadow"", ""natural_scrub"", ""natural_heath"", ""waterway_river"", ""waterway_stream"", ""natural_water"", ""GI09"", ""GI08"", ""GI07"", ""GI06"", ""GI10"", ""GI11"", ""BI07"", ""BI08"", ""BI01""]"
"accessible_nature","14.4","[0.03,None,-0.03]","[{""leisure"": ""park""}, {""leisure"": ""garden""}, {""waterway"": ""canal""}, {""natural"": ""water"", ""water"": [""pond"", ""basin"", ""reflecting_pool"", ""moat""]}, {""leisure"": ""playground""}, {""leisure"": ""recreation_ground""}, {""natural"": ""beach""}]","[""leisure_park"", ""leisure_garden"", ""leisure_playground"", ""leisure_recreation_ground"", ""waterway_canal"", ""natural_water"", ""GI01"", ""GI02"", ""GI03"", ""GI04"", ""BI02"", ""BI09""]"
"perceived_nature","9.6","[0,-0.03,None]","[{""amenity"": ""fountain""}, {""natural"": ""tree""}, {""natural"": ""tree_row""}, {""landuse"": ""grass""}]","[""landuse_grass"", ""natural_grassland"", ""natural_tree_row"", ""natural_tree"", ""natural_water"", ""natural_fishpond"", ""amenity_fountain"", ""GI05"", ""GI12"", ""BI03"", ""BI04"", ""BI05"", ""BI06""]"
"on_site_dining","24","[None,0.07]","[{""amenity"": ""restaurant""}, {""amenity"": ""cafe""}, {""amenity"": ""pub""}, {""amenity"": ""bar""}, {""amenity"": ""biergarten""}, {""amenity"": ""food_court""}]","[""amenity_restaurant"", ""A504"", ""amenity_cafe"", ""amenity_pub"", ""amenity_bar"", ""amenity_biergarten"", ""amenity_food_court""]"
"takeaway_consumption","14.4","[0.07,None]","[{""shop"": ""bakery""}, {""shop"": ""pastry""}, {""amenity"": ""fast_food""}, {""amenity"": ""ice_cream""}, {""shop"": ""deli""}]","[""shop_bakery"", ""shop_pastry"", ""B207"", ""amenity_fast_food"", ""amenity_ice_cream"", ""shop_deli""]"
"general_food_retail","9.6","[None,-0.05,-0.05]","[{""shop"": ""convenience""}, {""shop"": ""supermarket""}, {""shop"": ""grocery""}, {""shop"": ""general""}]","[""shop_convenience"", ""shop_supermarket"", ""B201"", ""B202"", ""B210"", ""shop_grocery"", ""shop_general""]"
"fresh_food_retail","14.4","[-0.05,None,0.07]","[{""shop"": ""butcher""}, {""shop"": ""fishmonger""}, {""shop"": ""bakery""}, {""shop"": ""pastry""}, {""shop"": ""greengrocer""}, {""shop"": ""deli""}, {""shop"": ""cheese""}, {""shop"": ""dairy""}, {""shop"": ""farm""}, {""amenity"": ""marketplace""}]","[""shop_butcher"", ""shop_fishmonger"", ""shop_bakery"", ""shop_pastry"", ""shop_greengrocer"", ""B204"", ""B206"", ""B207"", ""B208"", ""shop_deli"", ""shop_cheese"", ""shop_dairy"", ""shop_farm"", ""amenity_marketplace""]"
"nonfresh_food_retail","36","[-0.05,0.07,None]","[{""shop"": ""frozen_food""}, {""shop"": ""beverages""}, {""shop"": ""confectionery""}, {""shop"": ""chocolate""}, {""shop"": ""tea""}, {""shop"": ""coffee""}, {""shop"": ""health_food""}, {""shop"": ""wine""}, {""shop"": ""alcohol""}]","[""shop_frozen_food"", ""shop_beverages"", ""B205"", ""B209"", ""shop_confectionery"", ""shop_chocolate"", ""shop_tea"", ""shop_coffee"", ""shop_health_food"", ""shop_wine"", ""shop_alcohol""]"
"pharmaceutical_provision","14.4","[None,0.03]","[{""amenity"": ""pharmacy""}, {""healthcare"": ""pharmacy""}]","[""amenity_pharmacy"", ""healthcare_pharmacy"", ""D307""]"
"specialized_medical_supply","36","[0.03,None]","[{""shop"": ""medical_supply""}, {""shop"": ""healthcare""}, {""shop"": ""optician""}, {""shop"": ""hearing_aids""}, {""shop"": ""mobility""}, {""shop"": ""chemist""}, {""shop"": ""nutrition_supplements""}]","[""shop_medical_supply"", ""shop_healthcare"", ""B315"", ""shop_optician"", ""shop_hearing_aids"", ""shop_mobility"", ""shop_chemist"", ""shop_nutrition_supplements""]"
